model,metal_level,factor_type,factor_key,factor_label,coefficient
adult,silver,diagnosis,HCC035_2,Chronic Liver Failure/End-Stage Liver Disorders,2.014
adult,bronze,diagnosis,HCC035_2,Chronic Liver Failure/End-Stage Liver Disorders,1.929
adult,catastrophic,diagnosis,HCC035_2,Chronic Liver Failure/End-Stage Liver Disorders,1.923
adult,platinum,diagnosis,HCC036,Cirrhosis of Liver,0.668
adult,gold,diagnosis,HCC036,Cirrhosis of Liver,0.588
adult,silver,diagnosis,HCC036,Cirrhosis of Liver,0.545
adult,bronze,diagnosis,HCC036,Cirrhosis of Liver,0.477
adult,catastrophic,diagnosis,HCC036,Cirrhosis of Liver,0.467
adult,platinum,diagnosis,HCC037_1,Chronic Viral Hepatitis C,0.532
adult,gold,diagnosis,HCC037_1,Chronic Viral Hepatitis C,0.472
adult,silver,diagnosis,HCC037_1,Chronic Viral Hepatitis C,0.424
adult,bronze,diagnosis,HCC037_1,Chronic Viral Hepatitis C,0.371
adult,catastrophic,diagnosis,HCC037_1,Chronic Viral Hepatitis C,0.364
adult,platinum,diagnosis,HCC037_2,"Chronic Hepatitis, Except Chronic Viral Hepatitis C",0.532
adult,gold,diagnosis,HCC037_2,"Chronic Hepatitis, Except Chronic Viral Hepatitis C",0.472
adult,silver,diagnosis,HCC037_2,"Chronic Hepatitis, Except Chronic Viral Hepatitis C",0.424
adult,bronze,diagnosis,HCC037_2,"Chronic Hepatitis, Except Chronic Viral Hepatitis C",0.371
adult,catastrophic,diagnosis,HCC037_2,"Chronic Hepatitis, Except Chronic Viral Hepatitis C",0.364
adult,platinum,diagnosis,HCC041,Intestine Transplant Status/Complications,5.773
adult,gold,diagnosis,HCC041,Intestine Transplant Status/Complications,5.835
adult,silver,diagnosis,HCC041,Intestine Transplant Status/Complications,5.893
adult,bronze,diagnosis,HCC041,Intestine Transplant Status/Complications,5.974
adult,catastrophic,diagnosis,HCC041,Intestine Transplant Status/Complications,5.987
adult,platinum,diagnosis,HCC042,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis,10.678
adult,gold,diagnosis,HCC042,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis,10.534
adult,silver,diagnosis,HCC042,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis,10.530
adult,bronze,diagnosis,HCC042,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis,10.490
adult,catastrophic,diagnosis,HCC042,Peritonitis/Gastrointestinal Perforation/Necrotizing Enterocolitis,10.492
adult,platinum,diagnosis,HCC045,Intestinal Obstruction,4.905
adult,gold,diagnosis,HCC045,Intestinal Obstruction,4.700
adult,silver,diagnosis,HCC045,Intestinal Obstruction,4.637
adult,bronze,diagnosis,HCC045,Intestinal Obstruction,4.515
adult,catastrophic,diagnosis,HCC045,Intestinal Obstruction,4.505
adult,platinum,diagnosis,HCC046,Chronic Pancreatitis,2.257
adult,gold,diagnosis,HCC046,Chronic Pancreatitis,2.089
adult,silver,diagnosis,HCC046,Chronic Pancreatitis,2.039
adult,bronze,diagnosis,HCC046,Chronic Pancreatitis,1.946
adult,catastrophic,diagnosis,HCC046,Chronic Pancreatitis,1.940
adult,platinum,diagnosis,HCC047,Acute Pancreatitis,2.257
adult,gold,diagnosis,HCC047,Acute Pancreatitis,2.089
adult,silver,diagnosis,HCC047,Acute Pancreatitis,2.034
adult,bronze,diagnosis,HCC047,Acute Pancreatitis,1.924
adult,catastrophic,diagnosis,HCC047,Acute Pancreatitis,1.915
adult,platinum,diagnosis,HCC048,Inflammatory Bowel Disease,1.984
adult,gold,diagnosis,HCC048,Inflammatory Bowel Disease,1.889
adult,silver,diagnosis,HCC048,Inflammatory Bowel Disease,1.810
adult,bronze,diagnosis,HCC048,Inflammatory Bowel Disease,1.686
adult,catastrophic,diagnosis,HCC048,Inflammatory Bowel Disease,1.659
adult,platinum,diagnosis,HCC054,Necrotizing Fasciitis,7.353
adult,gold,diagnosis,HCC054,Necrotizing Fasciitis,7.203
adult,silver,diagnosis,HCC054,Necrotizing Fasciitis,7.177
adult,bronze,diagnosis,HCC054,Necrotizing Fasciitis,7.118
adult,catastrophic,diagnosis,HCC054,Necrotizing Fasciitis,7.115
adult,platinum,diagnosis,HCC055,Bone/Joint/Muscle Infections/Necrosis,4.336
adult,gold,diagnosis,HCC055,Bone/Joint/Muscle Infections/Necrosis,4.166
adult,silver,diagnosis,HCC055,Bone/Joint/Muscle Infections/Necrosis,4.139
adult,bronze,diagnosis,HCC055,Bone/Joint/Muscle Infections/Necrosis,4.076
adult,catastrophic,diagnosis,HCC055,Bone/Joint/Muscle Infections/Necrosis,4.076
adult,platinum,diagnosis,HCC056,Rheumatoid Arthritis and Specified Autoimmune Disorders,1.220
adult,gold,diagnosis,HCC056,Rheumatoid Arthritis and Specified Autoimmune Disorders,1.126
adult,silver,diagnosis,HCC056,Rheumatoid Arthritis and Specified Autoimmune Disorders,1.066
adult,bronze,diagnosis,HCC056,Rheumatoid Arthritis and Specified Autoimmune Disorders,0.987
adult,catastrophic,diagnosis,HCC056,Rheumatoid Arthritis and Specified Autoimmune Disorders,0.974
adult,platinum,diagnosis,HCC057,Systemic Lupus Erythematosus and Other Autoimmune Disorders,0.360
adult,gold,diagnosis,HCC057,Systemic Lupus Erythematosus and Other Autoimmune Disorders,0.294
adult,silver,diagnosis,HCC057,Systemic Lupus Erythematosus and Other Autoimmune Disorders,0.219
adult,bronze,diagnosis,HCC057,Systemic Lupus Erythematosus and Other Autoimmune Disorders,0.123
adult,catastrophic,diagnosis,HCC057,Systemic Lupus Erythematosus and Other Autoimmune Disorders,0.103
adult,platinum,diagnosis,HCC061,Osteogenesis Imperfecta and Other Osteodystrophy's,1.742
adult,gold,diagnosis,HCC061,Osteogenesis Imperfecta and Other Osteodystrophy's,1.622
adult,silver,diagnosis,HCC061,Osteogenesis Imperfecta and Other Osteodystrophy's,1.559
adult,bronze,diagnosis,HCC061,Osteogenesis Imperfecta and Other Osteodystrophy's,1.459
adult,catastrophic,diagnosis,HCC061,Osteogenesis Imperfecta and Other Osteodystrophy's,1.445
adult,platinum,diagnosis,HCC062,Congenital/Developmental Skeletal and Connective Tissue Disorders,1.742
adult,gold,diagnosis,HCC062,Congenital/Developmental Skeletal and Connective Tissue Disorders,1.622
adult,silver,diagnosis,HCC062,Congenital/Developmental Skeletal and Connective Tissue Disorders,1.559
adult,bronze,diagnosis,HCC062,Congenital/Developmental Skeletal and Connective Tissue Disorders,1.459
adult,catastrophic,diagnosis,HCC062,Congenital/Developmental Skeletal and Connective Tissue Disorders,1.445
adult,platinum,diagnosis,HCC063,Cleft Lip/Cleft Palate,0.719
adult,gold,diagnosis,HCC063,Cleft Lip/Cleft Palate,0.618
adult,silver,diagnosis,HCC063,Cleft Lip/Cleft Palate,0.554
adult,bronze,diagnosis,HCC063,Cleft Lip/Cleft Palate,0.469
adult,catastrophic,diagnosis,HCC063,Cleft Lip/Cleft Palate,0.457
adult,platinum,diagnosis,HCC066,Hemophilia,73.946
adult,gold,diagnosis,HCC066,Hemophilia,73.657
adult,silver,diagnosis,HCC066,Hemophilia,73.627
adult,bronze,diagnosis,HCC066,Hemophilia,73.535
adult,catastrophic,diagnosis,HCC066,Hemophilia,73.539
adult,platinum,diagnosis,HCC067,Myelodysplastic Syndromes and Myelofibrosis,10.803
adult,gold,diagnosis,HCC067,Myelodysplastic Syndromes and Myelofibrosis,10.679
adult,silver,diagnosis,HCC067,Myelodysplastic Syndromes and Myelofibrosis,10.651
adult,bronze,diagnosis,HCC067,Myelodysplastic Syndromes and Myelofibrosis,10.586
adult,catastrophic,diagnosis,HCC067,Myelodysplastic Syndromes and Myelofibrosis,10.578
adult,platinum,diagnosis,HCC068,Aplastic Anemia,10.803
