icd10_code,v28_hcc
C9420,HCC17
C9421,HCC17
C9422,HCC17
C9430,HCC20
C9431,HCC20
C9432,HCC20
C9440,HCC17
C9441,HCC17
C9442,HCC17
C946,HCC19
C9480,HCC20
C9481,HCC20
C9482,HCC20
C9500,HCC18
C9500,HCC18
C9501,HCC18
C9501,HCC18
C9502,HCC18
C9502,HCC18
C9510,HCC22
C9511,HCC22
C9512,HCC22
C9590,HCC22
C9591,HCC22
C9592,HCC22
C960,HCC21
C9620,HCC21
C9621,HCC21
C9622,HCC21
C9629,HCC21
C964,HCC21
C965,HCC21
C966,HCC21
C969,HCC21
C96A,HCC21
C96Z,HCC21
D030,HCC23
D0310,HCC23
D03111,HCC23
D03112,HCC23
D03121,HCC23
D03122,HCC23
D0320,HCC23
D0321,HCC23
D0322,HCC23
D0330,HCC23
D0339,HCC23
D034,HCC23
D0351,HCC23
D0352,HCC23
D0359,HCC23
D0360,HCC23
D0361,HCC23
D0362,HCC23
D0370,HCC23
D0371,HCC23
D0372,HCC23
D038,HCC23
D039,HCC23
D1802,HCC23
D320,HCC23
D321,HCC23
D329,HCC23
D330,HCC23
D331,HCC23
D332,HCC23
D333,HCC23
D334,HCC23
D337,HCC23
D339,HCC23
D352,HCC23
D353,HCC23
D354,HCC23
D3A00,HCC22
D3A010,HCC22
D3A011,HCC22
D3A012,HCC22
D3A019,HCC22
D3A020,HCC22
D3A021,HCC22
D3A022,HCC22
D3A023,HCC22
D3A024,HCC22
D3A025,HCC22
D3A026,HCC22
D3A029,HCC22
D3A090,HCC22
D3A091,HCC22
D3A092,HCC22
D3A093,HCC22
D3A094,HCC22
D3A095,HCC22
D3A096,HCC22
D3A098,HCC22
D3A8,HCC22
D420,HCC23
D421,HCC23
D429,HCC23
D430,HCC23
D431,HCC23
D432,HCC23
D433,HCC23
D434,HCC23
D438,HCC23
D439,HCC23
D443,HCC23
D444,HCC23
D445,HCC23
D446,HCC23
D447,HCC23
D45,HCC23
D460,HCC19
D461,HCC19
D4620,HCC19
D4621,HCC19
D4622,HCC17
D464,HCC19
D469,HCC19
D46A,HCC19
D46B,HCC19
D46C,HCC19
D46Z,HCC19
D471,HCC21
D473,HCC23
D474,HCC19
D479,HCC21
D47Z1,HCC21
D47Z2,HCC21
D47Z9,HCC21
D496,HCC23
D561,HCC108
D562,HCC108
D565,HCC108
D5700,HCC107
D5701,HCC107
D5702,HCC107
D5703,HCC107
D5704,HCC107
D5709,HCC107
D571,HCC107
D5720,HCC108
D57211,HCC108
D57212,HCC108
D57213,HCC108
D57214,HCC108
D57218,HCC108
D57219,HCC108
D5740,HCC108
D57411,HCC108
D57412,HCC108
D57413,HCC108
D57414,HCC108
D57418,HCC108
D57419,HCC108
D5742,HCC107
D57431,HCC107
D57432,HCC107
D57433,HCC107
D57434,HCC107
D57438,HCC107
D57439,HCC107
D5744,HCC108
D57451,HCC108
D57452,HCC108
D57453,HCC108
D57454,HCC108
D57458,HCC108
D57459,HCC108
D5780,HCC108
D57811,HCC108
D57812,HCC108
D57813,HCC108
D57814,HCC108
D57818,HCC108
D57819,HCC108
D5910,HCC109
D5911,HCC109
D5912,HCC109
D5913,HCC109
D5919,HCC109
D5930,HCC109
D5931,HCC109
D5932,HCC109
D5939,HCC109
D594,HCC109
D595,HCC109
D596,HCC109
D598,HCC109
D599,HCC109
D600,HCC109
D608,HCC109
