segment,factor_type,factor_key,coefficient
INS,hcc,HCC253,0
CNA,hcc,HCC254,0.321
CPA,hcc,HCC254,0.29
CFA,hcc,HCC254,0.292
CND,hcc,HCC254,0.172
CPD,hcc,HCC254,0.335
CFD,hcc,HCC254,0.365
INS,hcc,HCC254,0
CNA,hcc,HCC263,1.118
CPA,hcc,HCC263,1.007
CFA,hcc,HCC263,1.432
CND,hcc,HCC263,1.066
CPD,hcc,HCC263,1.056
CFD,hcc,HCC263,1.276
INS,hcc,HCC263,0.696
CNA,hcc,HCC264,0.455
CPA,hcc,HCC264,0.513
CFA,hcc,HCC264,0.498
CND,hcc,HCC264,0.52
CPD,hcc,HCC264,0.622
CFD,hcc,HCC264,0.461
INS,hcc,HCC264,0.338
CNA,hcc,HCC267,0.294
CPA,hcc,HCC267,0.338
CFA,hcc,HCC267,0.445
CND,hcc,HCC267,0.431
CPD,hcc,HCC267,0.498
CFD,hcc,HCC267,0.568
INS,hcc,HCC267,0.245
CNA,hcc,HCC276,2.531
CPA,hcc,HCC276,2.961
CFA,hcc,HCC276,2.21
CND,hcc,HCC276,1.583
CPD,hcc,HCC276,1.277
CFD,hcc,HCC276,2.292
INS,hcc,HCC276,3.085
CNA,hcc,HCC277,0.998
CPA,hcc,HCC277,0.65
CFA,hcc,HCC277,1.34
CND,hcc,HCC277,2.818
CPD,hcc,HCC277,3.829
CFD,hcc,HCC277,3.76
INS,hcc,HCC277,0.873
CNA,hcc,HCC278,0.818
CPA,hcc,HCC278,0.65
CFA,hcc,HCC278,0.791
CND,hcc,HCC278,1.209
CPD,hcc,HCC278,0.937
CFD,hcc,HCC278,1.64
INS,hcc,HCC278,0.873
CNA,hcc,HCC279,0.818
CPA,hcc,HCC279,0.65
CFA,hcc,HCC279,0.594
CND,hcc,HCC279,0.842
CPD,hcc,HCC279,0.804
CFD,hcc,HCC279,0.808
INS,hcc,HCC279,0.873
CNA,hcc,HCC280,0.319
CPA,hcc,HCC280,0.321
CFA,hcc,HCC280,0.39
CND,hcc,HCC280,0.209
CPD,hcc,HCC280,0.234
CFD,hcc,HCC280,0.281
INS,hcc,HCC280,0.312
CNA,hcc,HCC282,0.44
CPA,hcc,HCC282,0.409
CFA,hcc,HCC282,0.538
CND,hcc,HCC282,0.362
CPD,hcc,HCC282,0.173
CFD,hcc,HCC282,0.269
INS,hcc,HCC282,0.353
CNA,hcc,HCC283,0.204
CPA,hcc,HCC283,0
CFA,hcc,HCC283,0.131
CND,hcc,HCC283,0
CPD,hcc,HCC283,0
CFD,hcc,HCC283,0.074
INS,hcc,HCC283,0
CNA,hcc,HCC298,0.336
CPA,hcc,HCC298,0.327
CFA,hcc,HCC298,0.323
CND,hcc,HCC298,0.364
CPD,hcc,HCC298,0.301
CFD,hcc,HCC298,0.319
INS,hcc,HCC298,0.545
CNA,hcc,HCC300,0.596
CPA,hcc,HCC300,0.459
CFA,hcc,HCC300,0.37
CND,hcc,HCC300,0.366
CPD,hcc,HCC300,0.38
CFD,hcc,HCC300,0.255
INS,hcc,HCC300,0.196
CNA,hcc,HCC326,0.815
CPA,hcc,HCC326,0.965
CFA,hcc,HCC326,0.985
CND,hcc,HCC326,0.927
CPD,hcc,HCC326,1.05
CFD,hcc,HCC326,0.946
INS,hcc,HCC326,0.958
CNA,hcc,HCC327,0.514
CPA,hcc,HCC327,0.484
CFA,hcc,HCC327,0.565
CND,hcc,HCC327,0.523
CPD,hcc,HCC327,0.447
CFD,hcc,HCC327,0.661
INS,hcc,HCC327,0.462
CNA,hcc,HCC328,0.127
CPA,hcc,HCC328,0.14
CFA,hcc,HCC328,0.116
CND,hcc,HCC328,0.179
CPD,hcc,HCC328,0.178
CFD,hcc,HCC328,0.181
INS,hcc,HCC328,0.145
CNA,hcc,HCC329,0.127
CPA,hcc,HCC329,0.14
CFA,hcc,HCC329,0.116
CND,hcc,HCC329,0.179
CPD,hcc,HCC329,0.178
CFD,hcc,HCC329,0.181
INS,hcc,HCC329,0.145
CNA,hcc,HCC379,1.965
CPA,hcc,HCC379,2.349
CFA,hcc,HCC379,2.58
CND,hcc,HCC379,2.14
CPD,hcc,HCC379,2.349
CFD,hcc,HCC379,2.57
INS,hcc,HCC379,1.42
CNA,hcc,HCC380,1.078
CPA,hcc,HCC380,1.268
CFA,hcc,HCC380,1.422
CND,hcc,HCC380,1.091
CPD,hcc,HCC380,1.378
CFD,hcc,HCC380,1.285
INS,hcc,HCC380,0.839
CNA,hcc,HCC381,1.075
CPA,hcc,HCC381,1.136
CFA,hcc,HCC381,1.379
CND,hcc,HCC381,1.091
CPD,hcc,HCC381,1.089
CFD,hcc,HCC381,1.192
INS,hcc,HCC381,0.423
CNA,hcc,HCC382,0.838
CPA,hcc,HCC382,0.845
CFA,hcc,HCC382,1.029
CND,hcc,HCC382,0.994
CPD,hcc,HCC382,0.937
CFD,hcc,HCC382,0.935
INS,hcc,HCC382,0.343
CNA,hcc,HCC383,0.646
CPA,hcc,HCC383,0.66
CFA,hcc,HCC383,0.89
